	site_no	Mean Flow	Coeff Var	Tqmean	R-B Index	Station
1	3335000.0	1047.174030050224	76.20020390994304	0.3412931582229413	0.21404750846147302	Wildcat
2	3335000.0	1159.932079294454	73.33016056466445	0.34214047354203087	0.21923361620400483	Wildcat
3	3335000.0	1421.0316791847843	65.27646693268345	0.3634254011190886	0.21256725512289065	Wildcat
4	3335000.0	1373.4434177007643	65.09248027312753	0.3580085051211303	0.21087621375215498	Wildcat
5	3335000.0	1133.0150567214448	64.70959050854931	0.36739509232755696	0.20619492576687187	Wildcat
6	3335000.0	1073.342654192489	75.58185133038775	0.3294539722266363	0.2809309973200546	Wildcat
7	3335000.0	654.5133737427109	65.99745548141189	0.3348030260895945	0.23701233200913013	Wildcat
8	3335000.0	324.71227009808877	68.56705097172072	0.29812503370748644	0.23354122496118643	Wildcat
9	3335000.0	352.5050439728004	52.110438138577535	0.3231825440966153	0.17482223302597014	Wildcat
10	3335000.0	364.3482574809552	45.25830001944273	0.3513920307075201	0.14551060970622645	Wildcat
11	3335000.0	651.6382085743419	64.55439516324468	0.3284073441389904	0.19054542496357843	Wildcat
12	3335000.0	921.4596580628307	67.32468786890365	0.3508542572555365	0.19451060568941675	Wildcat
1	3331500.0	1119.238557922102	37.3936649370157	0.3859223421646948	0.08294698910841974	Tippe
2	3331500.0	1250.8628309232479	42.76874443381137	0.40011997457492454	0.09116828651087251	Tippe
3	3331500.0	1587.590088494792	32.71311792643604	0.4288692486601275	0.07428386827142698	Tippe
4	3331500.0	1555.417347482653	33.29774354506634	0.44519243604004444	0.07493792275514023	Tippe
5	3331500.0	1218.1229146442174	35.66069490880655	0.4046288089459669	0.0797522470309653	Tippe
6	3331500.0	1087.905415991313	31.839727986138488	0.4403533688225012	0.08277737667338321	Tippe
7	3331500.0	674.4696021800316	36.39720474346318	0.4098435635554656	0.0866540412962414	Tippe
8	3331500.0	469.9385185391175	30.668197863324536	0.40759026864866693	0.07075987893349821	Tippe
9	3331500.0	406.93206939588964	25.91208524030399	0.3791705863658032	0.06330938573614285	Tippe
10	3331500.0	490.63492225789594	24.775429074980085	0.41578445747800585	0.054943387463079515	Tippe
11	3331500.0	692.9891591649451	29.82345242299542	0.4002332353408549	0.07098553295078561	Tippe
12	3331500.0	934.8164512421209	31.50376376862224	0.3966410784710285	0.0726644850472067	Tippe
